,,d,d,d
919849191819620352,"Rang the police after being followed thru town by 2 men who'd threatened rape and beating, but they did nothing #MeToo",1,1,2
921115331162120192,Was off the beaten path in vegas and omg catcalled #metoo . Did this without thinking and was told to chill. pic.twitter.com/ZDHRQQlYhu,1,1,1
920293234382966784,"He told me he had a daughter that was older than me. Afterward, when he left me in that back room, he told me he had to go find her. #MeToo",1,1,1
920388381032439808,"I meet Harvey W at a Hollywood Hills party in the early 2000’s Ill never forget his demeanor/sexualized comments,aggressiveness Not #Metoo",1,1,1
919928975790501888,"I've been harassed by men AND women. Ladies, don't come up grabbing my ass or feeling me up. Or harassing me for being trans. #MeToo",1,1,3
923891521555804160,"If every time I am groped and I file a complaint to the police, I will be sitting for 365 days at the police station #feminism #metoo",1,1,3
920727743091953664,@Alyssa_Milano As a gay man I was sexually harrasesed and bullied quite often growing up. #MeToo,1,1,2
920106645467877376,"I spent $200 on this dinner for nothing? Oh come on, just one kiss. No? Just a peck?"" #MeToo""",1,1,2
919977646326468609,"I was told thats how it is here just joking around"" the more I thought about it, it wasn't joking around it was sexual harassment #MeToo""",1,1,1
919906176111820801,As a nurse I have been sexually harassed by several patients and management swept it under the rug. #MeToo,1,1,2
921881832626548736,#metoo I ENDURED sexual harassment in UNIFORM USAF as a Air Traffic Controller & ALL the male controllers knew &b/c he was my TRAINER I was,1,1,2
920068765210906624,#metoo even two coworkers told him my last name so he could try to friend me on Facebook. I had to wait in the back anytime I saw him,1,1,1
920413878177038337,"Like countless times before he would also show his displeasure by masturbating himself in front of me, when I said NO;to humiliate me #MeToo",1,1,2
920409535403225088,"#metoo @POS who thought it was ok to approach me at Publix, comment on my shorts, then touch my leg and leave me feeling unsafe to shop",1,1,1
920004023884959746,"When guys don't take I'm gay"" for an answer #MeToo""",1,1,1
920979254116081664,I once ordered pizza.... and the put mushrooms on by mistake .... #MeToo,2,,
920045910326779906,"#MeToo - constant online abuse from entitled men who think I owe them my time and attention because they compliment"" me.""",1,1,1
920847369964478464,i wrote a fb post re: a man who was very awful to me re: rape culture. he is commenting on #metoo stuff and getting a lot of praise...(1/3),1,1,1
920287238843486209,his lips at me and tried to kiss me saying 'gimme a kiss' #MeToo #MeToo too because I was only waiting for my bus to college.,1,1,2
919996964518989824,"#metoo from threats of rape whilst in the TA, to being the last one in the gym aged 18 & being pinned down & masturbated over 1/2",1,1,3
919990275006660608,"#MeToo It's sad when you consider yourself lucky"" to have only had to deal with harassment & a couple of easily fought off drunk frat boys.""",1,1,2
919994076098908161,When I was in my 20's a guy I was hanging out with forced me to touch him and repeatedly told me that I enjoyed it #MeToo,1,1,3
920180661532573696,"Made it to 29yo thanking my #restingbitchface for shielding me from assault, 1yr under a f mgr who scolded me for not smiling and now #metoo",1,1,1
920415818239827968,"#metoo 3 mo preg at the time. I complained, nice FEMALE producer said he's embarrassed"".So he got to work the next show. Because I made an issue,I nor my husband, were asked back by prod company again.He who stuck tongue down my throat got long gig with them.We lost our house...""",1,1,2
920047373950308352,#MeToo buying a cute top and my parents telling me to cover up because lads will think i'm asking for it thats the kinda society we're in,1,1,1
920399258380988416,"#metoo customer service= men constantly making remarks, calling me “sexy”, asking me to turn around so they can “look at that ass”, etc. https:// twitter.com/alyssa_milano/ status/919659438700670976 …",1,1,2
923135527410388993,Why your gym is so cheap? And why is #HarveyWeistein only in the news now? Find out on E3 of @survivesocpod #metoo https:// soundcloud.com/user-622675754 /e003-gym-workers-harvey-weinstein-and-regulating-the-internet?utm_source=soundcloud&utm_campaign=share&utm_medium=twitter …,2,,
919970747400929281,I went to the police & was told it was my word against my dads. I always thought it was my fault and now ik it wasn't. #MeToo,1,1,1
919838936167358464,#MeToo Allah is Kabir. He lives in satlok(Real Jannat) Must watch Everyday on Sadhna Tv 07:40 PM #SodakkuSongTeaser,2,,
920071956824592384,I was sexually harassed by a manager at @CrackerBarrel . I filed the proper paper work. They did nothing. He has been promoted. #MeToo,1,1,2
921476072297893889,"#metoo have been sexually harassed @school, stables, university cafeteria, street, home parties, work, church camp, by letter, by phone...",1,1,2
920048785870422017,"I could write a lot on this, but I've been out nearly every wk for 5mnths & only 3times has somebody not uninvitingly grabbed my bum. #metoo https:// twitter.com/twittermoments /status/919685734587564032 …",1,1,3
919959810635915264,"Blooming flower or busted ravioli?"" - a (male) client asked me to describe myself, back when I was a tech consultant. #MeToo""",1,1,2
920119026457624577,I never been sexually assaulted thank god but I have experienced crude comments about my body and what I’m wearing #Metoo,1,1,2
920100551374921730,"#MeToo . Sexually assaulted by a student. Told by police that if I prosecuted, my morality would be questioned. I was still a virgin then.",1,1,3
920239105698607104,@Alyssa_Milano #MeToo By a boy I thought I could trust. Sexually harassed just walking down the street. Sexually ha… https://t.co/9Rez8MFcbB,1,1,2
919972899775287297,"Worked as a nightclub bouncer constantly since I was 17. A week of work didn't go by without being groped or grabbed, or worse. #MeToo",1,1,3
919958692828798976,"People who are obligated to disclose:men who do everything from catcalling to joking about rape to groping to leering. Yes, you. Now. #MeToo",1,1,1
921016276457177088,"#MeToo I reported. My employer says reporting is attention seeking, embarrasses the company & predator. Too Bad. Don’t keep quiet!",1,1,2
922125310157578241,I stand with every woman here! I endured sexual harassment for years on various jobs from the 1970's through the present! #MeToo,1,1,2
919995479823446022,told a female admin about a boss who yelled at me every shift. She had me sign a contract saying I wouldn't sue for sex.harassment. #MeToo,1,1,1
920117846679670785,Had a male co worker tell me the #MeToo tag was stupid. He said girls could just be lying about sexual assault/harrasment.,1,1,1
920122045144420352,"I entered a giveaway for a chance to win  #MeToo with Me Too Hand Sign T-Shirt on Amazon. https:// giveaway.amazon.com/p/bb4fbbd41a71 d3c9/?ref_=tsm_4_tw_p_tw … #giveaway""",2,,
921092336892895232,"#MeToo I have been experiencing comments, unwanted touching etc from a co-worker. I see it happen to others as well. Still has his job",1,1,2
919976488715239425,It happened in February. I didn't want to make a scene. I didn't want to admit that the unwanted and invasive touches were assault. #MeToo,1,1,2
920750337543278596,"Coming to you LIVE from my block, where I just got catcalled while riding my bike. #metoo",1,1,1
921531797007089665,"Places I've been sexually harassed or assaulted: school, work, home, the street. Places I haven't been: Congress, the gym. Go figure #MeToo",1,1,2
923572525484961792,"#Weinstein #MeToo No not by Harvey but had many women Harass me, #flash me and don't get me started on #benders I guess I'm looking at #£££ pic.twitter.com/fQHQ3sveXh",1,1,2
920379171855126533,Remember when I was uncomfortable with how the shoot was going and you said not to tell your girlfriend? #MeToo,1,1,1
920276432235806723,#metoo He didn't only target me with his overtures. He made me change the way I dressed and how I responded to sincere compliments.,1,1,2
919871326529183744,I was sexual harassed and assaulted a few months back. Reported it. Dillwad still has his job. How does that shit work? #MeToo,1,1,2
920337859881598976,"#MeToo because once coming out of a bar, 4 police officers asked why we weren't wearing bras, instead of asking if we had a safe ride home.",1,1,1
919829571590959105,"Comments made me feel so dirty, all because I was wearing a jumper that said “I Miss Summer” #MeToo",1,1,1
924454196933521408,Walking thought the city. #Patreon #OnPtreon @talenthouse @Patreon pic.twitter.com/7S7w4AN9wa,2,,
919979363533279232,"Grabbed, pinched, bitten. Pressed with my back against a wall being told that I'm prettier when I smile. This matters. #MeToo",1,1,2
